employee_row,risk_score,actual,predicted,feature_rank,feature,shap_value_logodds,direction,tag
268,0.9551384551588897,0,1,7,MaritalStatus,0.40000094896136196,higher risk contribution,top_risk
268,0.9551384551588897,0,1,8,JobInvolvement,0.36295217488712533,higher risk contribution,top_risk
111,0.954463874292977,1,1,1,is_new_hire,0.9037017633799067,higher risk contribution,top_risk
111,0.954463874292977,1,1,2,OverTime,0.8591425158330547,higher risk contribution,top_risk
111,0.954463874292977,1,1,3,YearsAtCompany,-0.6271130482214491,lower risk contribution,top_risk
111,0.954463874292977,1,1,4,StockOptionLevel,-0.5344765168764667,lower risk contribution,top_risk
111,0.954463874292977,1,1,5,TotalWorkingYears,0.423735480388335,higher risk contribution,top_risk
111,0.954463874292977,1,1,6,YearsWithCurrManager,0.4123986523947038,higher risk contribution,top_risk
111,0.954463874292977,1,1,7,income_per_experience_year,0.39570265272002686,higher risk contribution,top_risk
111,0.954463874292977,1,1,8,JobInvolvement,0.36295217488712533,higher risk contribution,top_risk
99,0.9472530442612284,1,1,1,is_new_hire,0.9037017633799067,higher risk contribution,top_risk
99,0.9472530442612284,1,1,2,BusinessTravel,0.6517809827568578,higher risk contribution,top_risk
99,0.9472530442612284,1,1,3,YearsAtCompany,-0.6271130482214491,lower risk contribution,top_risk
99,0.9472530442612284,1,1,4,OverTime,-0.44258856876248276,lower risk contribution,top_risk
99,0.9472530442612284,1,1,5,TotalWorkingYears,0.423735480388335,higher risk contribution,top_risk
99,0.9472530442612284,1,1,6,YearsWithCurrManager,0.4123986523947038,higher risk contribution,top_risk
99,0.9472530442612284,1,1,7,satisfaction_composite,0.4034866118553591,higher risk contribution,top_risk
99,0.9472530442612284,1,1,8,JobRole,0.3529119296507439,higher risk contribution,top_risk
169,0.6192827935780544,0,1,1,YearsAtCompany,-0.4456042064786273,lower risk contribution,wrong_pred
169,0.6192827935780544,0,1,2,OverTime,-0.44258856876248276,lower risk contribution,wrong_pred
169,0.6192827935780544,0,1,3,MaritalStatus,0.40000094896136196,higher risk contribution,wrong_pred
169,0.6192827935780544,0,1,4,DistanceFromHome,0.35608434269794415,higher risk contribution,wrong_pred
169,0.6192827935780544,0,1,5,JobRole,0.3529119296507439,higher risk contribution,wrong_pred
169,0.6192827935780544,0,1,6,TotalWorkingYears,0.34482756970149414,higher risk contribution,wrong_pred
169,0.6192827935780544,0,1,7,Department,0.25258776196378074,higher risk contribution,wrong_pred
169,0.6192827935780544,0,1,8,EducationField,0.2499061979725002,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,1,OverTime,-0.44258856876248276,lower risk contribution,wrong_pred
85,0.5902405737338438,0,1,2,satisfaction_composite,0.4034866118553591,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,3,JobInvolvement,0.36295217488712533,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,4,YearsWithCurrManager,0.31845818487882593,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,5,DailyRate,0.26393508496278356,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,6,TotalWorkingYears,0.22646570367123303,higher risk contribution,wrong_pred
85,0.5902405737338438,0,1,7,NumCompaniesWorked,-0.1830213644512746,lower risk contribution,wrong_pred
85,0.5902405737338438,0,1,8,YearsAtCompany,-0.17334094386439475,lower risk contribution,wrong_pred
20,0.5403841081651534,0,1,1,is_new_hire,0.9037017633799067,higher risk contribution,wrong_pred
20,0.5403841081651534,0,1,2,YearsAtCompany,-0.71786746909286,lower risk contribution,wrong_pred
20,0.5403841081651534,0,1,3,OverTime,-0.44258856876248276,lower risk contribution,wrong_pred
20,0.5403841081651534,0,1,4,YearsWithCurrManager,0.4123986523947038,higher risk contribution,wrong_pred
20,0.5403841081651534,0,1,5,JobInvolvement,0.36295217488712533,higher risk contribution,wrong_pred
20,0.5403841081651534,0,1,6,DailyRate,-0.2947314621787556,lower risk contribution,wrong_pred
20,0.5403841081651534,0,1,7,Department,0.25258776196378074,higher risk contribution,wrong_pred
20,0.5403841081651534,0,1,8,TotalWorkingYears,0.22646570367123303,higher risk contribution,wrong_pred
